tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,30,0,0,0,0,3,0,99.5,0.005263157894736842,0
2,20,121,0,0,0,0,21,0,99.0,0.042105263157894736,1
3,20,174,0,0,0,0,30,0,98.5,0.042105263157894736,2
4,20,226,0,0,0,0,36,0,98.0,0.042105263157894736,3
5,20,263,0,0,0,0,54,0,97.5,0.042105263157894736,4
6,20,304,0,0,0,0,69,0,97.0,0.042105263157894736,5
7,20,354,0,0,0,0,78,0,96.5,0.042105263157894736,6
8,20,389,0,0,0,0,90,0,96.0,0.042105263157894736,7
9,20,412,0,0,0,0,108,0,95.5,0.042105263157894736,8
10,20,440,0,0,0,0,120,0,95.0,0.042105263157894736,9
11,20,475,0,0,0,0,129,0,94.5,0.042105263157894736,10
12,20,502,0,0,0,0,141,0,94.0,0.04736842105263158,11
13,20,533,0,0,0,0,156,0,93.5,0.04736842105263158,12
14,20,571,0,0,0,0,165,0,93.0,0.05263157894736842,13
15,20,606,0,0,0,0,177,0,92.5,0.05263157894736842,14
16,20,655,0,0,0,0,183,0,92.075,0.05263157894736842,15
17,20,687,0,0,0,0,192,0,91.575,0.05263157894736842,16
18,20,718,0,0,0,0,204,0,91.075,0.05263157894736842,17
19,20,752,0,0,0,0,213,0,90.575,0.05263157894736842,18
20,20,785,0,0,0,0,225,0,90.075,0.05263157894736842,19
21,20,812,0,0,0,0,228,0,89.575,0.05263157894736842,20
22,20,845,0,0,0,0,234,0,89.075,0.05789473684210526,21
23,20,873,0,0,0,0,240,0,88.575,0.05789473684210526,22
24,20,900,0,0,0,0,246,0,88.075,0.05789473684210526,23
25,20,929,0,0,0,0,252,0,87.6,0.05789473684210526,24
26,20,961,0,0,0,0,258,0,87.1,0.05789473684210526,25
27,20,992,0,0,0,0,264,0,86.6,0.05789473684210526,26
28,20,1021,0,0,0,0,270,0,86.15,0.05789473684210526,27
29,20,1052,0,0,0,0,276,0,85.675,0.05789473684210526,28
30,20,1079,0,0,0,0,282,0,85.175,0.05789473684210526,29
31,20,1108,0,0,0,0,288,0,84.675,0.05789473684210526,30
32,20,1131,0,0,0,0,294,0,84.175,0.05789473684210526,31
33,20,1154,0,0,0,0,300,0,83.675,0.05789473684210526,32
34,20,1178,0,0,0,0,306,0,83.175,0.05789473684210526,33
35,20,1196,0,0,0,0,312,0,82.675,0.05789473684210526,34
36,20,1223,0,0,0,0,318,0,82.175,0.05789473684210526,35
37,20,1244,0,0,0,0,324,0,81.675,0.05789473684210526,36
38,20,1277,0,0,0,0,330,0,81.175,0.05789473684210526,37
39,20,1308,0,0,0,0,336,0,80.7,0.05789473684210526,38
40,20,1332,0,0,0,0,342,0,80.2,0.05789473684210526,39
41,20,1357,0,0,0,0,348,0,79.7,0.05789473684210526,40
42,20,1373,0,0,0,0,354,0,79.2,0.05789473684210526,41
43,20,1395,0,0,0,0,360,0,78.7,0.05789473684210526,42
44,20,1417,0,0,0,0,366,0,78.2,0.05789473684210526,43
45,20,1442,0,0,0,0,372,0,77.7,0.05789473684210526,44
46,20,1470,0,0,0,0,378,0,77.225,0.05789473684210526,45
47,20,1507,0,0,0,0,384,0,76.725,0.05789473684210526,46
48,20,1532,0,0,0,0,390,0,76.225,0.05789473684210526,47
49,20,1548,0,0,0,0,396,0,75.725,0.05789473684210526,48
50,20,1574,0,0,0,0,402,0,75.225,0.05789473684210526,49
