tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,55,0,0,0,0,0,0,99.5,0.02631578947368421,0
2,20,130,0,0,0,1,9,0,99.0,0.03684210526315789,1
3,20,221,0,0,0,1,12,0,98.5,0.04736842105263158,2
4,20,291,0,0,0,1,21,1,98.0,0.04736842105263158,3
5,20,350,0,0,0,1,30,2,97.5,0.04736842105263158,4
6,20,383,0,0,0,1,33,3,97.0,0.05,5
7,20,423,0,0,0,1,42,3,96.5,0.05,6
8,20,477,0,0,0,1,48,3,96.0,0.060526315789473685,7
9,20,519,0,0,0,1,51,3,95.5,0.060526315789473685,8
10,20,569,0,0,0,1,57,3,95.0,0.060526315789473685,9
11,20,623,0,0,0,1,63,3,94.5,0.060526315789473685,10
12,20,675,0,0,0,1,66,3,94.0,0.06578947368421052,11
13,20,708,0,0,0,1,69,3,93.5,0.06578947368421052,12
14,20,733,0,0,0,1,69,4,93.0,0.06578947368421052,13
15,20,780,0,0,0,1,72,4,92.5,0.06578947368421052,14
16,20,816,0,0,0,1,75,5,92.0,0.06578947368421052,15
17,20,859,0,0,0,1,78,6,91.5,0.06578947368421052,16
18,20,894,0,0,0,2,78,7,91.0,0.06578947368421052,17
19,20,942,0,0,0,2,81,7,90.5,0.06578947368421052,18
20,20,977,0,0,0,2,84,7,90.0,0.06578947368421052,19
21,20,1016,0,0,0,2,87,7,89.5,0.06578947368421052,20
22,20,1060,0,0,0,3,87,7,89.0,0.06578947368421052,21
23,20,1095,0,0,0,3,87,8,88.5,0.06578947368421052,22
24,20,1124,0,0,0,3,87,9,88.0,0.06578947368421052,23
25,20,1162,0,0,0,3,87,11,87.5,0.06578947368421052,24
26,20,1185,0,0,0,3,87,13,87.0,0.06578947368421052,25
27,20,1218,0,0,0,3,87,15,86.5,0.06578947368421052,26
28,20,1240,0,0,0,3,87,17,86.0,0.06578947368421052,27
29,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,28
30,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,29
31,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,30
32,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,31
33,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,32
34,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,33
35,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,34
36,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,35
37,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,36
38,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,37
39,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,38
40,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,39
41,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,40
42,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,41
43,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,42
44,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,43
45,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,44
46,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,45
47,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,46
48,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,47
49,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,48
50,20,1264,0,0,1,2,90,19,85.525,0.06578947368421052,49
