tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,19,0,0,0,0,0,0,99.75,0.010526315789473684,0
2,20,31,0,0,0,1,0,0,99.5,0.02631578947368421,1
3,20,54,0,0,0,1,0,1,99.25,0.031578947368421054,2
4,20,104,0,0,0,2,9,1,99.0,0.031578947368421054,3
5,20,130,0,0,0,2,9,2,98.75,0.03684210526315789,4
6,20,154,0,0,0,2,15,3,98.5,0.03684210526315789,5
7,20,167,0,0,0,2,18,3,98.25,0.03684210526315789,6
8,20,184,0,0,0,2,21,4,98.0,0.03684210526315789,7
9,20,199,0,0,0,2,24,5,97.75,0.03684210526315789,8
10,20,211,0,0,0,2,30,5,97.5,0.03684210526315789,9
11,20,229,0,0,0,2,33,6,97.25,0.03684210526315789,10
12,20,250,0,0,0,2,39,6,97.0,0.03684210526315789,11
13,20,261,0,0,0,2,42,8,96.75,0.03684210526315789,12
14,20,276,0,0,0,2,48,10,96.5,0.03684210526315789,13
15,20,289,0,0,0,2,51,10,96.25,0.03684210526315789,14
16,20,299,0,0,0,2,54,10,96.0,0.03684210526315789,15
17,20,311,0,0,0,2,60,10,95.75,0.03684210526315789,16
18,20,319,0,0,0,2,69,11,95.5,0.03684210526315789,17
19,20,326,0,0,0,3,69,13,95.25,0.03684210526315789,18
20,20,329,0,0,0,3,72,14,95.0,0.03684210526315789,19
21,20,345,0,0,0,3,72,14,94.75,0.03684210526315789,20
22,20,352,0,0,0,3,75,16,94.5,0.042105263157894736,21
23,20,360,0,0,0,3,81,17,94.25,0.042105263157894736,22
24,20,370,0,0,0,3,84,19,94.0,0.042105263157894736,23
25,20,378,0,0,0,3,90,19,93.75,0.042105263157894736,24
26,20,387,0,0,0,3,99,20,93.5,0.042105263157894736,25
27,20,399,0,0,0,3,105,21,93.25,0.042105263157894736,26
28,20,418,0,0,0,3,105,21,93.0,0.04736842105263158,27
29,20,435,0,0,0,3,111,24,92.75,0.04736842105263158,28
30,20,448,0,0,0,3,117,26,92.5,0.04736842105263158,29
31,20,459,0,0,0,3,123,29,92.25,0.04736842105263158,30
32,20,472,0,0,0,3,123,31,92.0,0.04736842105263158,31
33,20,490,0,0,0,3,129,32,91.75,0.04736842105263158,32
34,20,502,0,0,0,3,132,35,91.5,0.04736842105263158,33
35,20,525,0,0,0,3,138,36,91.25,0.04736842105263158,34
36,20,534,0,0,0,3,141,38,91.0,0.04736842105263158,35
37,20,543,0,0,0,3,147,40,90.75,0.04736842105263158,36
38,20,572,0,0,0,3,150,42,90.5,0.04736842105263158,37
39,20,589,0,0,0,3,150,45,90.25,0.04736842105263158,38
40,20,597,0,0,0,3,156,47,90.0,0.04736842105263158,39
41,20,609,0,0,0,4,162,48,89.75,0.04736842105263158,40
42,20,615,0,0,0,4,165,51,89.5,0.04736842105263158,41
43,20,629,0,0,0,4,165,54,89.25,0.04736842105263158,42
44,20,640,0,0,0,4,168,55,89.0,0.04736842105263158,43
45,20,660,0,0,0,4,171,57,88.75,0.04736842105263158,44
46,20,673,0,0,0,4,177,59,88.5,0.04736842105263158,45
47,20,692,0,0,0,4,177,60,88.25,0.04736842105263158,46
48,20,704,0,0,0,4,183,62,88.0,0.04736842105263158,47
49,20,719,0,0,0,4,189,63,87.75,0.04736842105263158,48
50,20,734,0,0,0,4,192,64,87.5,0.04736842105263158,49
