tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,29,0,0,0,0,0,0,99.75,0.015789473684210527,0
2,20,60,0,0,0,0,3,0,99.5,0.021052631578947368,1
3,20,102,0,0,0,0,9,0,99.25,0.03684210526315789,2
4,20,138,0,0,0,0,12,0,99.0,0.03684210526315789,3
5,20,170,0,0,0,0,12,0,98.75,0.03684210526315789,4
6,20,179,0,0,0,0,18,0,98.5,0.03684210526315789,5
7,20,222,0,0,0,0,18,0,98.25,0.03684210526315789,6
8,20,252,0,0,0,0,21,0,98.0,0.03684210526315789,7
9,20,268,0,0,0,0,27,0,97.75,0.042105263157894736,8
10,20,292,0,0,0,0,30,0,97.5,0.042105263157894736,9
11,20,314,0,0,0,0,33,0,97.25,0.042105263157894736,10
12,20,334,0,0,0,0,36,0,97.0,0.042105263157894736,11
13,20,367,0,0,0,0,39,0,96.75,0.042105263157894736,12
14,20,390,0,0,0,0,42,0,96.5,0.042105263157894736,13
15,20,406,0,0,0,0,45,0,96.25,0.042105263157894736,14
16,20,425,0,0,0,0,48,0,96.0,0.042105263157894736,15
17,20,443,0,0,0,0,48,0,95.75,0.042105263157894736,16
18,20,456,0,0,0,0,51,0,95.5,0.04473684210526316,17
19,20,466,0,0,0,0,54,0,95.25,0.04473684210526316,18
20,20,484,0,0,0,0,57,0,95.0,0.04736842105263158,19
21,20,494,0,0,0,0,57,0,94.75,0.04736842105263158,20
22,20,517,0,0,0,0,57,0,94.5,0.04736842105263158,21
23,20,532,0,0,0,0,57,0,94.25,0.04736842105263158,22
24,20,552,0,0,0,0,60,0,94.0,0.04736842105263158,23
25,20,566,0,0,0,0,66,0,93.75,0.04736842105263158,24
26,20,578,0,0,0,0,72,0,93.5,0.04736842105263158,25
27,20,594,0,0,0,0,75,0,93.25,0.04736842105263158,26
28,20,600,0,0,0,0,78,0,93.0,0.04736842105263158,27
29,20,619,0,0,0,0,78,0,92.75,0.04736842105263158,28
30,20,632,0,0,0,0,81,0,92.5,0.04736842105263158,29
31,20,640,0,0,0,0,84,0,92.25,0.04736842105263158,30
32,20,664,0,0,0,0,84,0,92.0,0.05263157894736842,31
33,20,691,0,0,0,0,87,0,91.75,0.05263157894736842,32
34,20,721,0,0,0,0,90,0,91.5,0.05263157894736842,33
35,20,739,0,0,0,0,90,0,91.25,0.05263157894736842,34
36,20,755,0,0,0,0,93,0,91.0,0.05526315789473684,35
37,20,770,0,0,0,0,93,0,90.75,0.05526315789473684,36
38,20,790,0,0,0,0,96,0,90.5,0.05526315789473684,37
39,20,818,0,0,0,0,96,0,90.25,0.05526315789473684,38
40,20,838,0,0,0,0,99,0,90.0,0.05526315789473684,39
41,20,849,0,0,0,0,99,0,89.75,0.05526315789473684,40
42,20,867,0,0,0,0,99,0,89.5,0.05526315789473684,41
43,20,877,0,0,0,0,102,0,89.25,0.05526315789473684,42
44,20,909,0,0,0,0,102,0,89.0,0.05526315789473684,43
45,20,926,0,0,0,0,102,0,88.75,0.05526315789473684,44
46,20,937,0,0,0,0,102,0,88.5,0.05526315789473684,45
47,20,952,0,0,0,0,105,0,88.25,0.05526315789473684,46
48,20,961,0,0,0,0,108,0,88.0,0.05526315789473684,47
49,20,973,0,0,0,0,111,0,87.75,0.05526315789473684,48
50,20,995,0,0,0,0,111,0,87.5,0.05526315789473684,49
