tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,20,14,0,0,0,0,0,0,99.75,0.010526315789473684,0
2,20,33,0,0,0,1,0,0,99.5,0.010526315789473684,1
3,20,90,0,0,0,1,6,0,99.25,0.031578947368421054,2
4,20,129,0,0,0,1,9,0,99.0,0.03684210526315789,3
5,20,158,0,0,0,1,15,0,98.75,0.03684210526315789,4
6,20,211,0,0,0,1,15,0,98.5,0.042105263157894736,5
7,20,237,0,0,0,1,18,0,98.25,0.042105263157894736,6
8,20,251,0,0,0,1,27,0,98.0,0.04736842105263158,7
9,20,273,0,0,0,1,30,0,97.75,0.04736842105263158,8
10,20,306,0,0,0,1,33,0,97.5,0.05263157894736842,9
11,20,343,0,0,0,1,36,0,97.25,0.05263157894736842,10
12,20,369,0,0,0,1,39,0,97.0,0.05263157894736842,11
13,20,398,0,0,0,1,45,0,96.75,0.05263157894736842,12
14,20,425,0,0,0,1,51,0,96.5,0.05263157894736842,13
15,20,454,0,0,0,1,51,0,96.25,0.05263157894736842,14
16,20,470,0,0,0,1,57,0,96.0,0.05263157894736842,15
17,20,496,0,0,0,1,66,0,95.75,0.05263157894736842,16
18,20,514,0,0,0,1,69,0,95.5,0.05263157894736842,17
19,20,527,0,0,0,1,72,0,95.25,0.05263157894736842,18
20,20,541,0,0,0,1,78,1,95.0,0.05263157894736842,19
21,20,552,0,0,0,1,84,2,94.75,0.05263157894736842,20
22,20,565,0,0,0,1,93,2,94.5,0.05263157894736842,21
23,20,583,0,0,0,1,99,2,94.25,0.05263157894736842,22
24,20,611,0,0,0,1,105,2,94.0,0.05263157894736842,23
25,20,622,0,0,0,1,105,2,93.75,0.05789473684210526,24
26,20,638,0,0,0,1,111,2,93.5,0.05789473684210526,25
27,20,651,0,0,0,1,114,3,93.25,0.05789473684210526,26
28,20,659,0,0,0,1,120,4,93.0,0.05789473684210526,27
29,20,678,0,0,0,1,123,5,92.75,0.05789473684210526,28
30,20,686,0,0,0,1,126,5,92.5,0.05789473684210526,29
31,20,698,0,0,0,1,135,5,92.25,0.05789473684210526,30
32,20,724,0,0,0,1,141,5,92.0,0.05789473684210526,31
33,20,740,0,0,0,1,147,6,91.75,0.05789473684210526,32
34,20,754,0,0,0,1,150,6,91.5,0.05789473684210526,33
35,20,771,0,0,0,1,153,6,91.25,0.05789473684210526,34
36,20,785,0,0,0,1,159,6,91.0,0.05789473684210526,35
37,20,791,0,0,0,1,162,7,90.75,0.06315789473684211,36
38,20,802,0,0,0,1,168,7,90.5,0.06315789473684211,37
39,20,819,0,0,0,1,168,7,90.25,0.06315789473684211,38
40,20,836,0,0,0,1,168,7,90.0,0.06315789473684211,39
41,20,852,0,0,0,1,168,7,89.75,0.06315789473684211,40
42,20,863,0,0,0,1,171,8,89.5,0.06315789473684211,41
43,20,891,0,0,0,1,171,8,89.25,0.06315789473684211,42
44,20,897,0,0,0,1,174,10,89.0,0.06315789473684211,43
45,20,911,0,0,0,1,174,11,88.75,0.06315789473684211,44
46,20,931,0,0,0,1,177,12,88.5,0.06315789473684211,45
47,20,949,0,0,0,1,177,13,88.25,0.06315789473684211,46
48,20,967,0,0,0,1,177,16,88.0,0.06315789473684211,47
49,20,973,0,0,0,1,183,17,87.75,0.06315789473684211,48
50,20,991,0,0,0,1,183,19,87.5,0.06315789473684211,49
