tick,num_agents,vocab_size,num_alliances,num_groups,passed_norms,open_proposals,total_research,total_votes,avg_energy,graph_density,longest_word_survival
1,15,3,0,0,0,0,0,0,99.83333333333333,0.0,0
2,15,6,0,0,0,0,0,0,99.66666666666667,0.0,1
3,15,24,0,0,0,0,3,0,99.5,0.0,2
4,15,30,0,0,0,0,12,0,99.33333333333333,0.0,3
5,15,36,0,0,0,0,18,0,99.16666666666667,0.0,4
6,15,37,0,0,0,0,21,0,99.0,0.0,5
7,15,38,0,0,0,0,21,0,98.83333333333333,0.0,6
8,15,43,0,0,0,0,30,0,98.66666666666667,0.0,7
9,15,54,0,0,0,1,39,0,98.5,0.0,8
10,15,57,0,0,0,1,48,0,98.33333333333333,0.0,9
11,15,59,0,0,0,1,57,0,98.16666666666667,0.0,10
12,15,62,0,0,0,1,63,0,98.0,0.0,11
13,15,64,0,0,0,1,72,0,97.83333333333333,0.0,12
14,15,65,0,0,0,1,78,0,97.66666666666667,0.0,13
15,15,68,0,0,0,1,87,1,97.5,0.0,14
16,15,77,0,0,0,1,102,1,97.33333333333333,0.0,15
17,15,79,0,0,0,1,111,1,97.16666666666667,0.0,16
18,15,81,0,0,0,1,120,1,97.0,0.0,17
19,15,81,0,0,0,1,123,1,96.83333333333333,0.0,18
20,15,83,0,0,0,1,135,1,96.66666666666667,0.0,19
